"question_no","question","1","2","3","4"
"118.","हाल ही में प्रकाशित पुस्तक ""द न्यू आइकन: सावरकर एंड द फैक्ट्स"" और 'वर्शिपिंग फॉल्स गॉड्सः अंबेडकर एंड द फैक्ट्स विच हैव बीन इरेज़्ड' के लेखक कौन हैं?","अमिताभ कांत","अमिताभ घोष","अरुण शौरी","सलमान रुश्दी"
"119.","किस देश में जुरासिक युग (लगभग 149 मिलियन वर्ष पूर्व) के दो पक्षी जीवाश्म खोजे गए हैं?","भारत","चीन","नेपाल","मलेशिया"
"120.","भारत टेक्स 2025 का आयोजन कहाँ किया गया है?","नई दिल्ली","मुंबई","अहमदाबाद","जयपुर"
"121.","भारत ने पारंपरिक चिकित्सा गुणवत्ता आश्वासन को मजबूत करने के लिए किस देश के साथ समझौते पर हस्ताक्षर किए हैं?","indonesia","सऊदी अरब","नेपाल","मलेशिया"
"122.","""राज्यों में पंचायतों को हस्तांतरण की स्थिति - एक सांकेतिक साक्ष्य आधारित रैंकिंग"" रिपोर्ट में कौन सा राज्य शीर्ष पर है?","कर्नाटक","केरल","तमिलनाडु","उत्तर प्रदेश"
"123.","हार्टफुलनेस भगवान बुद्ध त्रि-सेवा मोटरसाइकिल अभियान में कौन सा देश शामिल नहीं है?","नेपाल","भारत","श्रीलंका","थाईलैंड"
"124.","इंडी हाट का आयोजन कहाँ किया गया है?","नई दिल्ली","मुंबई","अहमदाबाद","जयपुर"
"125.","38वें राष्ट्रीय खेलों के के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. उद्घाटन प्रधानमंत्री नरेन्द्र मोदी ने 28 जनवरी को नई दिल्ली में किया था। 2. 38वें ग्रीष्मकालीन राष्ट्रीय खेलों का शुभंकर मौली था। 3. तीनों सेनाओं की संयुक्त टीम ने कुल 121 पदक जीतकर शीर्ष स्थान हासिल किया है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 3","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"126.","2025 पैरा तीरंदाजी एशिया कप-विश्व रैंकिंग प्रतियोगिता में भारत किस स्थान पर रहा?","प्रथम","द्वितीय","तृतीय","चौथे"
"127.","दिल्ली की नई मुख्यमंत्री के रूप में किसने शपथ लिया है?","श्रीमती रेखा गुप्ता","आतिशी सिंह","अरविंद केजरीवाल","प्रवेश वर्मा"
"128.","भारत और ने लिथियम का पता लगाने एवं खनन संबंधी समझौता ज्ञापन पर हस्ताक्षर किए हैं।","चीन","अर्जेंटीना","थाईलैंड","ऑस्ट्रेलिया"
"129.","9वीं एशिया आर्थिक वार्ता कहाँ आयोजित की जा रही है?","नई दिल्ली","मुंबई","अहमदाबाद","पुणे"
"130.","समुद्री सुरक्षा प्रदर्शनी -नेवडेक्स 2025 का आयोजन कहाँ किया गया है?","रियाद","अबू धाबी","दुबई","मस्कट"
"131.","हाल ही में किसे यूके की मानद नाइटहुड से सम्मानित किया गया है?","रतन टाटा","ललित मोदी","नवीन जिंदल","एन चंद्रशेखरन"
"132.","प्रधानमंत्री नरेन्द्र मोदी मॉरिशस के 57वें राष्ट्रीय दिवस समारोह में मुख्य अतिथि होंगे। मॉरीशस में हर वर्ष किस दिन मनाया जाता है?","10 मार्च","11 मार्च","12 मार्च","13 मार्च"
"133.","प्रधानमंत्री नरेन्द्र मोदी का प्रधान सचिव द्वितीय किसे नियुक्त किया गया है?","शक्तिकांत दास","मधबी पूरी ब्बूच","डॉ वी नारायणन","विवेक रामास्वामी"
"134.","तीन दिवसीय 'पूसा कृषि विज्ञान मेला 2025' का उद्घाटन किसने किया है?","जगदीप धनकर","द्रौपदी मुरमू","श्री नरेन्द्र मोदी","शिवराज सिंह चौहान"
"135.","ग्रीन मेट्रो सिस्टम पर 5वां अंतर्राष्ट्रीय सम्मेलन - शहरी गतिशीलता का भविष्य' कहाँ आयोजित किया गया?","नई दिल्ली","मुंबई","अहमदाबाद","पुणे"
"136.","वैश्विक ब्रांड धारणा अध्ययन 'द फ्यूचरब्रांड इंडेक्स 2024' के अनुसार, वैश्विक रैंकिंग में कौन सी कंपनी शीर्ष स्थान पर है?","सैमसंग","रिलायंस इंडस्ट्रीज","Apple","Nike"
"137.","किसके द्वारा स्कूल ऑफ अल्टीमेट लीडरशिप (सोल) लीडरशिप कॉन्क्लेव के पहले संस्करण का उद्घाटन किया गया?","जगदीप धनकर","द्रौपदी मुरमू","श्री नरेन्द्र मोदी","शिवराज सिंह चौहान"
"138.","किसके द्वारा नई दिल्ली में 98वें अखिल भारतीय मराठी साहित्य सम्मेलन का उद्घाटन किया गया है?","जगदीप धनकर","द्रौपदी मुरमू","श्री नरेन्द्र मोदी","डॉ जितेंद्र सिंह"
"139.","दूसरा अखिल भारतीय राज्य जल मंत्रियों का सम्मेलन कहाँ आयोजित किया गया था?","नई दिल्ली","मुंबई","अहमदाबाद","उदयपुर"
"140.","2024 बीबीसी वर्ष की सर्वश्रेष्ठ भारतीय महिला खिलाड़ी किसे चुना है?","स्मृति मांधना","निशानेबाज मनु भाकर","आकाश पाल","पोयमंती बैस्य"
"141.","मुख्य आर्थिक सलाहकार डॉक्टर वी. अनंत नागेश्वरन का कार्यकाल कब तक के लिए बढ़ा दिया गया है?","2026","2027","2028","2030"
"142.","जी-20 विदेश मंत्रियों की बैठक कहाँ आयोजित किया गया?","जोहान्सबर्ग","रियो डी जेनेरियो","ब्रासीलिया","पेरिस"
"143.","पांच वर्ष में डेढ हजार सिविल सेवा अधिकारियों को प्रशिक्षित करने के लिए भारत सरकार ने किस देश के साथ समझौता ज्ञापन किया है?","बांग्लादेश","श्रीलंका","नेपाल","पाकिस्तान"
"144.","तटीय सुरक्षा बढ़ाने के लिए कहाँ पर में सैन्य अभ्यास 'जल-थल-रक्षा 2025' आयोजित किया गया है?","तमिल नाडु","कर्नाटक","केरेला","गुजरात"
"145.","हाल ही में हुई जनगणना के अनुसार भारत के किस राज्य में गिद्धों की संख्या सबसे अधिक है?","राजस्थान","गुजरात","मध्य प्रदेश","महाराष्ट्र"
"146.","कौन सा देश क्षेत्रीय बंगाल की खाड़ी (बीओबी) कार्यक्रम अंतर-सरकारी संगठन का अध्यक्ष बन गया है?","बांग्लादेश","भारत","नेपाल","श्रीलंका"
"147.","केंद्रीय गृह मंत्री ने में पश्चिमी क्षेत्रीय परिषद की बैठक की 27वीं बैठक की अध्यक्षता की है।","दिल्ली","हैदराबाद","जयपुर","पुणे"
"148.","28वें वार्षिक ग्रेट बैकयार्ड बर्ड काउंट (GBBC) के दौरान कौन सा राज्य लगातार तीसरे वर्ष भारत की पक्षी गणना में अग्रणी रहा है?","पश्चिम बंगाल","उत्तराखंड","असम","कर्नाटक"
"149.","किस राज्य के वन प्रबंधन परियोजना (NFMP) को वन पारिस्थितिकी तंत्र में सुधार और आय सृजन में सहायता के लिए प्रतिष्ठित SKOCH पुरस्कार 2024 से सम्मानित किया गया?","उत्तराखंड","असम","कर्नाटक","नागालैंड"
"150.","ओपेक + समूह में प्रमुख तेल निर्यातक देशों में शामिल होगा।","इटली","ब्राजील","अर्जेंटीना","पेरू"
"151.","फोर्ब्स की 2025 में दुनिया की शीर्ष 10 सबसे अमीर महिलाओं में शीर्ष पर हैं।","एलिस लुईस वाल्टन","सावित्री देवी जिंदल","रौशनी नादर मल्होत्रा","फाल्गुनी नायर"
"152.","आयुष मंत्रालय ने परम्परागत भारतीय चिकित्सा के क्षेत्र में अग्रणी योगदान के लिए के लिए किसे 'राष्ट्रीय धन्वंतरि आयुर्वेद पुरस्कार' से सम्मानित किया है?","वैद्य तारा चंद शर्मा","वैद्य माया राम उनियाल","वैद्य समीर गोविंद जमदग्नि","उपरोक्त सभी"
"153.","“वित्तीय साक्षरता – महिला समृद्धि"" विषय के साथ वित्तीय साक्षरता सप्ताह 2025 कब से कब तक चलेगा?","24 से 29 फरवरी","24 से 28 फरवरी","24 से 26 फरवरी","24 से 27 फरवरी"
"154.","अंतर्राष्ट्रीय सम्मेलन प्रकृति 2025 (परिवर्तनकारी पहलों को एकीकृत करने के लिए सुदृढ़ता, जागरूकता, ज्ञान और संसाधनों को बढ़ावा देना) कहाँ आयोजित किया गया?","नई दिल्ली","हैदराबाद","जयपुर","पुणे"
"155","किस संगठन ने 'विज्ञान में अधिक महिलाओं वाली दुनिया की कल्पना करें' अभियान शुरू किया है?","यूनेस्को","यूएनओ","यूएनईपी","यूएनएचआरसी"
"156","मोरक्को में आयोजित सड़क सुरक्षा पर चौथे मंत्रिस्तरीय सम्मेलन में किस देश को सर्वोच्च पुरस्कार 'प्रिंस माइकल डिकेड ऑफ एक्शन रोड सेफ्टी अवार्ड' से सम्मानित किया गया?","bharat","ब्राजील","अर्जेंटीना","पेरू"
"157","भारत और __________ सीमा बलों के बीच प्रभावी संचार के लिए एक नई 'हॉटलाइन' या संचार लिंक शुरू करने पर सहमत हुए हैं।","बांग्लादेश","नेपाल","म्यांमार","अफ़ग़ानिस्तान"
"158","हाल ही में किसे सेबी का नया अध्यक्ष नियुक्त किया गया है?","तुहिन कांत पांडे","मधबी पूरी बूच","डॉ वि नारायणन","डॉ सुब्रमण्यम"
"159","केंद्रीय वाणिज्य और उद्योग मंत्री पीयूष गोयल ने ___________ में भारत कॉलिंग सम्मेलन 2025 का किया उद्घाटन किया है।","दिल्ली","मुंबई","हैदराबाद","जयपुर"
"160","भारतीय सांस्कृतिक संबंध परिषद और दिल्ली विकास प्राधिकरण ने भारत-अंतर्राष्ट्रीय नृत्य तथा संगीत महोत्सव के किस संस्करण का आयोजन किया है?","5","7","9","10"
"161","यूनाइटेड नेशन्स कन्वेंशन ऑफ बायोलॉजिकल डायवर्सिटी (CBD) यानी जैविक विविधता पर संयुक्त राष्ट्र सम्मेलन का 16वां सत्र (COP16) का आयोजन कहाँ हुआ है?","रोम","पेरिस","लंदन","ओस्लो"
