"question_no","question","1","2","3","4"
"120","आईपीएल के 18वें सत्र के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. आरसीबी ने पंजाब किंग्स को 6 रनों से हराकर आईपीएल 2025 ट्रॉफी जीत ली है। 2. ऑरेंज कैप गुजरात टाइटन्स के साई सुदर्शन (759 रन) को दिया गया है। 3. पर्पल कैप गुजरात टाइटन्स के प्रसिद्ध कृष्णा (25 विकेट) को दिया गया है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"121","संयुक्त राष्ट्र महासभा का अगला अध्यक्ष किसे निर्वाचित किया गया हैं?","एनालेना बेयरबॉक","फिलेमॉन यांग","एंतोनियो गुतरश","NOTA"
"122","2024 में जापान को पीछे छोड़कर दुनिया का सबसे बड़ा ऋणदाता देश कौन बन गया है?","जर्मनी","भारत","चीन","यूएसए"
"123","एआई आधारित मल्टीमॉडल लार्ज लैंग्वेज मॉडल ‘भारत जेन' का शुभारंभ किसने किया है ?","जितेन्द्र सिंह","नरेंद्र मोदी","अमित शाह","अश्विनी वैष्णव"
"124","एयरपोर्ट काउंसिल इंटरनेशनल एशिया-पैसिफिक एंड मिडिल ईस्ट (ACI APAC & MID) द्वारा जारी 2024 एयर कनेक्टिविटी रैंकिंग में शीर्ष पर कौन सा हवाई अड्डा है?","दुबई अंतर्राष्ट्रीय हवाई अड्डा","शंघाई पुडोंग अंतर्राष्ट्रीय हवाई अड्डा","हमद अंतर्राष्ट्रीय हवाई अड्डा (दोहा, कतर)","इंदिरा गांधी अंतर्राष्ट्रीय हवाई अड्डे"
"125","नॉर्वे शतरंज 2025 टूर्नामेंट में किसने जीत दर्ज किया है?","डी. गुकेश","मैग्नस कार्लसन","आर प्रज्ञानंद","आर वैशाली"
"126","26वीं एशियाई एथलेटिक्स चैंपियनशिप में शीर्ष पर रहा है?","चीन","भारत","जापान","उज्बेकिस्तान"
"127","'लेट्स सेलिब्रेट द पावर ऑफ डेयरी' थीम के साथ विश्व दुग्ध दिवस कब मनाया गया है?","01 जून","04 जून","06 जून","13 जून"
"128","""अपील का पर्दाफाश: तंबाकू और निकोटीन उत्पादों पर उद्योग की चालों को उजागर करना"" थीम के साथ विश्व तम्बाकू निषेध दिवस कब मनाया गया?","28 मई","29 मई","30 मई","31 मई"
"129","नाटो शिखर सम्मेलन 2025 कहाँ आयोजित किया गया था?","ब्रुसेल्स, बेल्जियम","द हेग, नीदरलैंड","बर्लिन, जर्मनी","पेरिस, फ्रांस"
"130","11वें अंतर्राष्ट्रीय योग दिवस (IDY) 2025 का विषय क्या है?","एक पृथ्वी, एक शांति के लिए योग","शांति और स्वास्थ्य के लिए योग","एक पृथ्वी, एक मानव के लिए योग","एक पृथ्वी, एक स्वास्थ्य के लिए योग"
"131","2025 में BWF वर्ल्ड टूर खिताब जीतने वाले पहले भारतीय कौन बने?","लक्ष्य सेन","किदांबी श्रीकांत","आयुष शेट्टी","प्रणय एच.एस."
"132","सिंधु जल संधि विवाद के केंद्र में कौन सी दो जलविद्युत परियोजनाएँ हैं?","बगलिहार और उरी","किशनगंगा और रतले","सरदार सरोवर और टिहरी","दुलहस्ती और सलाल"
"133","24 जून 2025 को रक्षा मंत्री द्वारा लिए गए निर्णय के अनुसार, अब तीनों सेनाओं को संयुक्त निर्देश और आदेश कौन जारी कर सकता है?","प्रधानमंत्री और गृह मंत्री","रक्षा सचिव और रॉ प्रमुख","चीफ ऑफ डिफेंस स्टाफ और सैन्य मामलों के सचिव","सेना प्रमुख और नौसेना प्रमुख"
"134","अमेरिकी हवाई हमलों में ईरान के किन परमाणु स्थलों को निशाना बनाया गया?","अराक, क़ोम और अहवाज़","फ़ोर्डो, नतांज़ और इस्फ़हान","तेहरान, मशहद और शिराज","यज़्द, बंदर अब्बास और क़ज़्विन"
"135","प्रोजेक्ट 17A के तहत पहले स्वदेशी रूप से निर्मित स्टील्थ फ्रिगेट का नाम क्या है जिसे जून 2025 में पूर्वी नौसेना कमान के सनराइज फ्लीट में शामिल किया गया था?","आईएनएस शिवालिक","आईएनएस विक्रांत","आईएनएस नीलगिरि","आईएनएस सतपुड़ा"
"136","2025 आईसीसी महिला वनडे विश्व कप कब होगा?","अगस्त-सितंबर 2025","30 सितंबर से 2 नवंबर 2025","1 अक्टूबर से 30 नवंबर 2025","सितंबर-अक्टूबर 2025"
"137","ईरान के परमाणु और सैन्य स्थलों को निशाना बनाकर किए जाने वाले इजरायल के सैन्य अभियान का नाम क्या है?","डेजर्ट थंडर","आयरन शील्ड","राइजिंग लायन","स्टॉर्म फाल्कन"
"138","ILO के ILOSTAT डेटा के अनुसार, 2025 में भारत का सामाजिक सुरक्षा कवरेज प्रतिशत क्या है?","45.3%","64.3%","59.5%","74.3%"
"139","सभ्यताओं के बीच संवाद के लिए अंतर्राष्ट्रीय दिवस कब मनाया जाता है, और इसका मुख्य उद्देश्य क्या है?","5 जून; पर्यावरण संरक्षण के बारे में जागरूकता बढ़ाना","10 जून; अंतर-सांस्कृतिक समझ और शांतिपूर्ण सह-अस्तित्व को बढ़ावा देना","1 मई; श्रम अधिकारों और आर्थिक समानता का सम्मान करना","11 जुलाई; वैश्विक जनसंख्या प्रवृत्तियों को पहचानना"

"140","2025 में इंटरनेशनल एयर ट्रांसपोर्ट एसोसिएशन (IATA) की 81वीं वार्षिक आम बैठक कहां आयोजित की गई थी?","मुंबई","जेनेवा","भारत मंडपम, नई दिल्ली","बैंगलोर"

